drg,procedure_id,procedure_name,provider_id,provider_name,address,city,state,zip_code,region,total_discharges,average_covered_charges,average_totalPayments,average_medicare_payments,patient_oop_payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,Alabama,35233,AL - Birmingham,11,1014783.45,171081.18,141193.91,29887.27
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,Arizona,85054,AZ - Phoenix,28,382051,194081.39,167511.96,26569.43
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,California,92103,CA - San Diego,21,971881.48,324050.71,294419.62,29631.09
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,California,92123,CA - San Diego,18,1517857.61,257177.33,233532.83,23644.5
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50108,"SUTTER MEDICAL CENTER, SACRAMENTO",2825 CAPITOL AVENUE,SACRAMENTO,California,95816,CA - Sacramento,17,1470341.06,346150.12,338472,7678.12
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50262,RONALD REAGAN U C L A MEDICAL CENTER,757 WESTWOOD PLAZA,LOS ANGELES,California,90095,CA - Los Angeles,19,1450590.58,449486.11,404408.74,45077.37
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,California,94305,CA - San Mateo County,17,2739156.06,442429.18,417977.35,24451.83
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,California,94143,CA - San Francisco,19,1578239.63,394118.89,355075.84,39043.05
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,50625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,California,90048,CA - Los Angeles,44,2361256.77,326124.27,313246.11,12878.16
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,12605 EAST 16TH AVENUE,AURORA,Colorado,80045,CO - Denver,11,1017809,225019.73,209039.64,15980.09
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,70022,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,Connecticut,6504,CT - New Haven,13,1266155.23,268305.23,236996.46,31308.77
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,HARTFORD,Connecticut,6102,CT - Hartford,16,433476.38,303569.69,186122.94,117446.75
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,90011,MEDSTAR WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,WASHINGTON,Washington D.C.,20010,DC - Washington,42,880594.9,225530.48,196105.31,29425.17
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,Florida,32803,FL - Orlando,30,1079113.53,188579.17,181159.7,7419.47
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIR,TAMPA,Florida,33606,FL - Tampa,35,979213.6,187168.69,179881.77,7286.92
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,100151,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,Florida,32224,FL - Jacksonville,13,519927.31,249000.46,120839.23,128161.23
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE",ATLANTA,Georgia,30322,GA - Atlanta,15,542336.73,221120,188005.2,33114.8
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,110083,PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,ATLANTA,Georgia,30309,GA - Atlanta,21,922556,265781.71,186084.9,79696.81
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 SOUTH MARYLAND,CHICAGO,Illinois,60637,IL - Chicago,22,1387768.41,352630.77,263922.05,88708.72
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,Heart Transplant,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,Illinois,60453,IL - Blue Island,48,976426.6,385395.63,235295.58,150100.05
