providerId,providerName_old,address_old,city_old,state_old,zipCode_old,region,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,providerName
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,Alabama,36301,AL - Dothan,31.215459,-85.36156,1,range_interpolation,1108,Ross Clark Cir,Dothan,AL,Houston County,36301,US,Southeast Alabama Medical Center
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,Alabama,35957,AL - Birmingham,34.22056,-86.159217,1,range_interpolation,2505 U,Us Hwy 431,Boaz,AL,Marshall County,35957,US,Marshall Medical Center South
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,Alabama,35631,AL - Birmingham,34.795189,-87.684997,1,range_interpolation,205,S Marengo St,Florence,AL,Lauderdale County,35630,US,Eliza Coffee Memorial Hospital
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,Alabama,36467,AL - Dothan,31.291546,-86.255295,1,range_interpolation,702,N Main St,Opp,AL,Covington County,36467,US,Mizell Memorial Hospital
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,Alabama,35235,AL - Birmingham,33.512694,-86.750622,0.8,street_center,,Medical Park Dr NE,Birmingham,AL,Jefferson County,35213,US,St Vincent'S East
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,Alabama,35007,AL - Birmingham,33.25215,-86.813487,1,rooftop,1000,1st St N,Alabaster,AL,Shelby County,35007,US,Shelby Baptist Medical Center
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,Alabama,35660,AL - Birmingham,34.745892,-87.699051,1,range_interpolation,1300,S Montgomery Ave,Sheffield,AL,Colbert County,35660,US,Helen Keller Memorial Hospital
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,Alabama,36360,AL - Dothan,31.451815,-85.631094,1,range_interpolation,126,Hospital Ave,Ozark,AL,Dale County,36360,US,Dale Medical Center
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,Alabama,36116,AL - Montgomery,32.327614,-86.277476,1,rooftop,2105,E South Blvd,Montgomery,AL,Montgomery County,36111,US,Baptist Medical Center South
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,Alabama,36106,AL - Montgomery,32.366928,-86.285116,1,rooftop,1725,Pine St,Montgomery,AL,Montgomery County,36106,US,Jackson Hospital & Clinic Inc
